,gr,data_type,condition
2121,0.0767466669438032,prediction,auto
2122,0.0767495793352223,prediction,auto
2123,0.0767606950918178,prediction,auto
2124,0.0767618486078145,prediction,auto
2125,0.0768672650823685,prediction,auto
2126,0.0768706235685801,prediction,auto
2127,0.0794871266072107,prediction,auto
2128,0.0795241658252419,prediction,auto
2129,0.0794975543561162,prediction,auto
2130,0.0794351403935407,prediction,auto
2131,0.079496804677273,prediction,auto
2132,0.0795780065254592,prediction,auto
2133,0.0796579553240507,prediction,auto
2134,0.0796989814194458,prediction,auto
2135,0.0797418452190666,prediction,auto
2136,0.0796982864313421,prediction,auto
2137,0.079675843141914,prediction,auto
2138,0.0796517583679473,prediction,auto
2139,0.0797323161042867,prediction,auto
2140,0.0797115360053583,prediction,auto
2141,0.07971817768376,prediction,auto
2142,0.079743592027765,prediction,auto
2143,0.0797454697331502,prediction,auto
2144,0.0797462441918192,prediction,auto
2145,0.0797492770249272,prediction,auto
2146,0.0797502215683597,prediction,auto
2147,0.0797527660231089,prediction,auto
2148,0.0797499185699155,prediction,auto
2149,0.0797952392831867,prediction,auto
2150,0.0798121981476387,prediction,auto
2151,0.0798162704090286,prediction,auto
2152,0.0800049353484406,prediction,auto
2153,0.0799920367735249,prediction,auto
2154,0.0799836055438983,prediction,auto
2155,0.0799703094180073,prediction,auto
2156,0.0799816433450499,prediction,auto
2157,0.0799953082866955,prediction,auto
2158,0.0800039584648088,prediction,auto
2159,0.0799768391993523,prediction,auto
2160,0.079978235711771,prediction,auto
2161,0.0800312121809243,prediction,auto
2162,0.0800209953796246,prediction,auto
2163,0.0800041041856717,prediction,auto
2164,0.0800352418812338,prediction,auto
2165,0.0800540653132429,prediction,auto
2166,0.0800664974859838,prediction,auto
2167,0.0800548724448383,prediction,auto
2168,0.0800579315111992,prediction,auto
2169,0.0800327230733399,prediction,auto
2170,0.0800572231654025,prediction,auto
2171,0.0800841093739978,prediction,auto
2172,0.0800745278276154,prediction,auto
2173,0.0800593335319758,prediction,auto
2174,0.0800427891912678,prediction,auto
2175,0.0800552038105625,prediction,auto
2176,0.0800751785744637,prediction,auto
2177,0.080060803110109,prediction,auto
2178,0.0800878417049721,prediction,auto
2179,0.0800630685134058,prediction,auto
2180,0.0800831422336697,prediction,auto
2181,0.0800753948037362,prediction,auto
2182,0.0800890005861659,prediction,auto
2183,0.0801081571414672,prediction,auto
2184,0.0801095909895021,prediction,auto
2185,0.0801638691349314,prediction,auto
2186,0.0801500780427377,prediction,auto
2187,0.0801413590614302,prediction,auto
2188,0.0801561441540968,prediction,auto
2189,0.0801495044935481,prediction,auto
2190,0.080169380865156,prediction,auto
2191,0.0801884725366034,prediction,auto
2192,0.0801887233067715,prediction,auto
2193,0.0801878589231255,prediction,auto
2194,0.0802240479563735,prediction,auto
2195,0.0802334253339574,prediction,auto
2196,0.0802354783279202,prediction,auto
2197,0.0802323068038528,prediction,auto
2198,0.0802422486455067,prediction,auto
2199,0.0802608348371878,prediction,auto
2200,0.0802836367880922,prediction,auto
2201,0.0802563348852213,prediction,auto
2202,0.0802746902337158,prediction,auto
2203,0.0803120986775454,prediction,auto
2204,0.080287344718504,prediction,auto
2205,0.0802677356117431,prediction,auto
2206,0.080206664293273,prediction,auto
2207,0.0802089803872339,prediction,auto
2208,0.0801494619851048,prediction,auto
2209,0.0801001017367602,prediction,auto
2210,0.080084834486558,prediction,auto
2211,0.0801027871084887,prediction,auto
2212,0.0800647793766734,prediction,auto
2213,0.0800621994192434,prediction,auto
2214,0.0800679511680911,prediction,auto
2215,0.0800690586249969,prediction,auto
2216,0.0801099077303709,prediction,auto
2217,0.0801160866421099,prediction,auto
2218,0.0801681835839095,prediction,auto
2219,0.0801595864053709,prediction,auto
2220,0.0801951099470529,prediction,auto
2221,0.0801895456794795,prediction,auto
2222,0.0802369355718409,prediction,auto
2223,0.0802518065000698,prediction,auto
2224,0.080233571682955,prediction,auto
2225,0.080263305288017,prediction,auto
2226,0.08030032080677,prediction,auto
2227,0.0803364810801238,prediction,auto
2228,0.0803352458234551,prediction,auto
2229,0.0803389157261445,prediction,auto
2230,0.0803202144514476,prediction,auto
2231,0.0803226701520444,prediction,auto
2232,0.080297772539722,prediction,auto
2233,0.0802892262997186,prediction,auto
2234,0.0801989627604034,prediction,auto
2235,0.0801888497204666,prediction,auto
2236,0.080202465823129,prediction,auto
2237,0.0802079241554857,prediction,auto
2238,0.0802051639313976,prediction,auto
2239,0.0801782287831954,prediction,auto
2240,0.0801488254889417,prediction,auto
2241,0.0801299109668901,prediction,auto
2242,0.0801126761961603,prediction,auto
2243,0.0800894760607487,prediction,auto
2244,0.0801116830554065,prediction,auto
2245,0.0801040045327394,prediction,auto
2246,0.0803209065229048,prediction,auto
2247,0.0802835283686551,prediction,auto
2248,0.0802814566285659,prediction,auto
2249,0.0802509578004597,prediction,auto
2250,0.0802899708546585,prediction,auto
2251,0.0803464329318768,prediction,auto
2252,0.0802164109237552,prediction,auto
2253,0.0802555124193955,prediction,auto
2254,0.0802435856052389,prediction,auto
2255,0.080250813369524,prediction,auto
2256,0.080279599636125,prediction,auto
2257,0.0802932914555857,prediction,auto
2258,0.0803218107498725,prediction,auto
2259,0.0803609529790258,prediction,auto
2260,0.080353752502273,prediction,auto
2261,0.0803583832160056,prediction,auto
2262,0.0803677209869619,prediction,auto
2263,0.0803304774349369,prediction,auto
2264,0.0803342282617319,prediction,auto
2265,0.0803494552344825,prediction,auto
2266,0.0803915167796226,prediction,auto
2267,0.0804300609169866,prediction,auto
2268,0.0804739044669701,prediction,auto
2269,0.0805137504256524,prediction,auto
2270,0.0805363059320873,prediction,auto
2271,0.0805537731159505,prediction,auto
2272,0.0805593955968026,prediction,auto
2273,0.0805582287753051,prediction,auto
2274,0.0805453793402519,prediction,auto
2275,0.0805450373927718,prediction,auto
2276,0.08054931650842,prediction,auto
2277,0.0804993447915186,prediction,auto
2278,0.0804982459833636,prediction,auto
2279,0.0804864755591452,prediction,auto
2280,0.0804825850526202,prediction,auto
2281,0.0804809841892525,prediction,auto
2282,0.0805080088056543,prediction,auto
2283,0.0804926593451497,prediction,auto
2284,0.0805172603072009,prediction,auto
2285,0.0805124176168539,prediction,auto
2286,0.0805187106508747,prediction,auto
2287,0.0804711536946181,prediction,auto
2288,0.0804593133099198,prediction,auto
2289,0.0768743729796122,prediction,auto
2290,0.0769110303425959,prediction,auto
2291,0.0769110308406362,prediction,auto
2292,0.0769110209878118,prediction,auto
2293,0.0767985114165523,prediction,auto
2294,0.0767776131387528,prediction,auto
2295,0.0767793532453684,prediction,auto
2296,0.0767793513325831,prediction,auto
2297,0.0767790897101666,prediction,auto
2298,0.0768041902662411,prediction,auto
2299,0.0768044158651172,prediction,auto
2300,0.076803064211828,prediction,auto
2301,0.0768432169042054,prediction,auto
2302,0.0768441369660209,prediction,auto
2303,0.0768463834674021,prediction,auto
2304,0.0768468464718621,prediction,auto
2305,0.0768470098815857,prediction,auto
2306,0.0768472948686147,prediction,auto
2307,0.0768473831435412,prediction,auto
2308,0.0768512251537093,prediction,auto
2309,0.0768518542727387,prediction,auto
2310,0.0768523340929723,prediction,auto
2311,0.0768561840278798,prediction,auto
2312,0.0768558952733518,prediction,auto
2313,0.076855875593011,prediction,auto
2314,0.076859844388397,prediction,auto
2315,0.0768612071442288,prediction,auto
2316,0.076874803333773,prediction,auto
2317,0.0768749401071847,prediction,auto
2318,0.0768755895258142,prediction,auto
2319,0.0768757157219087,prediction,auto
2320,0.0768756688279589,prediction,auto
2321,0.0768791998675593,prediction,auto
2322,0.0768877721470761,prediction,auto
2323,0.0768921704327734,prediction,auto
2324,0.0768918466182074,prediction,auto
2325,0.0768923793700101,prediction,auto
2326,0.0768919661566729,prediction,auto
2327,0.0768870443315531,prediction,auto
2328,0.0768883375000718,prediction,auto
2329,0.0768888910448774,prediction,auto
2330,0.0768903645836585,prediction,auto
2331,0.0768907400363648,prediction,auto
2332,0.0768905698066511,prediction,auto
2333,0.076890593685143,prediction,auto
2334,0.0768889256376299,prediction,auto
2335,0.0768861663657671,prediction,auto
2336,0.0768860154140389,prediction,auto
2337,0.076885192642103,prediction,auto
2338,0.0768773478691198,prediction,auto
2339,0.076877954636641,prediction,auto
2340,0.0768802787314858,prediction,auto
2341,0.0768829287186638,prediction,auto
2342,0.0768832399579349,prediction,auto
2343,0.0768837051608207,prediction,auto
2344,0.0768810270449991,prediction,auto
2345,0.07687995404425,prediction,auto
2346,0.0776863665172046,prediction,auto
2347,0.0777428433645253,prediction,auto
2348,0.0777460879786981,prediction,auto
2349,0.0777475282114658,prediction,auto
2350,0.0777448947740204,prediction,auto
2351,0.0777454522868655,prediction,auto
2352,0.0777471338036963,prediction,auto
2353,0.0777546654859653,prediction,auto
2354,0.0777408280105752,prediction,auto
2355,0.0777623626802678,prediction,auto
2356,0.0777671114410352,prediction,auto
2357,0.0777583975342707,prediction,auto
2358,0.0777595883658679,prediction,auto
2359,0.0777639667915972,prediction,auto
2360,0.0777625492879498,prediction,auto
2361,0.0777997437759977,prediction,auto
2362,0.0776911589740417,prediction,auto
2363,0.0776882621379183,prediction,auto
2364,0.0776899981180751,prediction,auto
2365,0.0776957251766942,prediction,auto
2366,0.0776984669365024,prediction,auto
2367,0.0776994122226404,prediction,auto
2368,0.0777037954566326,prediction,auto
2369,0.0777127266834793,prediction,auto
2370,0.0777924653582693,prediction,auto
2371,0.0777944289908308,prediction,auto
2372,0.077791934559668,prediction,auto
2373,0.0777897483321543,prediction,auto
2374,0.0777923720687496,prediction,auto
2375,0.0777883082095177,prediction,auto
2376,0.0777897232267751,prediction,auto
2377,0.0777980695074597,prediction,auto
2378,0.0778046506171715,prediction,auto
2379,0.0778082029122602,prediction,auto
2380,0.077842633142039,prediction,auto
2381,0.07788456370555,prediction,auto
2382,0.0778656772567969,prediction,auto
2383,0.0778697863397117,prediction,auto
2384,0.07786948011695,prediction,auto
2385,0.0778731558197013,prediction,auto
2386,0.0778757807742524,prediction,auto
2387,0.0778784370792376,prediction,auto
2388,0.0778796962054469,prediction,auto
2389,0.077886546362229,prediction,auto
2390,0.0779182492533047,prediction,auto
2391,0.0780998954125714,prediction,auto
2392,0.0781146428560067,prediction,auto
2393,0.0781936623473867,prediction,auto
2394,0.0782086518643796,prediction,auto
2395,0.0782167997691425,prediction,auto
2396,0.0782135224173975,prediction,auto
2397,0.0782113444800876,prediction,auto
2398,0.0782189830130659,prediction,auto
2399,0.0782130219931741,prediction,auto
2400,0.0782178721703975,prediction,auto
2401,0.0781331285368955,prediction,auto
2402,0.0781341863493231,prediction,auto
2403,0.0781272446596473,prediction,auto
2404,0.0781347135152742,prediction,auto
2405,0.0781432798565814,prediction,auto
2406,0.0781439746296386,prediction,auto
2407,0.078146609242484,prediction,auto
2408,0.0781389992495466,prediction,auto
2409,0.0781479170147495,prediction,auto
2410,0.0781513897851019,prediction,auto
2411,0.0781482886742103,prediction,auto
2412,0.0781540088019514,prediction,auto
2413,0.0781630607761172,prediction,auto
2414,0.0781628530522254,prediction,auto
2415,0.0781770984110421,prediction,auto
2416,0.0780034291250524,prediction,auto
2417,0.0781073698449403,prediction,auto
2418,0.0780947851035992,prediction,auto
2419,0.078083429599229,prediction,auto
2420,0.0780710324494175,prediction,auto
2421,0.0780703748507731,prediction,auto
2422,0.0780804100054347,prediction,auto
2423,0.0780843934256137,prediction,auto
2424,0.0780717446512571,prediction,auto
2425,0.0780767142198066,prediction,auto
2426,0.0780735229588893,prediction,auto
2427,0.0780471072328131,prediction,auto
2428,0.0780697241330394,prediction,auto
2429,0.0780716096761757,prediction,auto
2430,0.0780629701059706,prediction,auto
2431,0.078059480813146,prediction,auto
2432,0.078063023965624,prediction,auto
2433,0.0780640655502716,prediction,auto
2434,0.0780495887153338,prediction,auto
2435,0.0780618333429582,prediction,auto
2436,0.0780671985191958,prediction,auto
2437,0.078060105940248,prediction,auto
2438,0.0780503529333885,prediction,auto
2439,0.0780437255837146,prediction,auto
2440,0.078056983907419,prediction,auto
2441,0.0780508616768872,prediction,auto
2442,0.0780227205497318,prediction,auto
2443,0.0780292193591685,prediction,auto
2444,0.0780346219550644,prediction,auto
2445,0.0780506859322415,prediction,auto
2446,0.0780586036106556,prediction,auto
2447,0.0780590175883663,prediction,auto
2448,0.0780614596321471,prediction,auto
2449,0.0780553083245282,prediction,auto
2450,0.0780397710082703,prediction,auto
2451,0.0780413680784379,prediction,auto
2452,0.078035007735558,prediction,auto
2453,0.0780416103788119,prediction,auto
2454,0.0780475400293457,prediction,auto
2455,0.0780450148117415,prediction,auto
2456,0.0780303062582579,prediction,auto
2457,0.0780232817943525,prediction,auto
2458,0.0780522113253113,prediction,auto
2459,0.078045325484697,prediction,auto
2460,0.0780347751590265,prediction,auto
2461,0.0780296251540751,prediction,auto
2462,0.0780423309527716,prediction,auto
2463,0.0780405299339845,prediction,auto
2464,0.0780396155591595,prediction,auto
2465,0.0780452389590683,prediction,auto
2466,0.0780572677383063,prediction,auto
2467,0.0780440763031462,prediction,auto
2468,0.0780493702061309,prediction,auto
2469,0.0780544045876368,prediction,auto
2470,0.0780650024705513,prediction,auto
2471,0.0780632236973305,prediction,auto
2472,0.0780735645189554,prediction,auto
2473,0.0780885368137317,prediction,auto
2474,0.0780913076487209,prediction,auto
2475,0.0780861681251202,prediction,auto
2476,0.0780906693876346,prediction,auto
2477,0.0780775126602183,prediction,auto
2478,0.0780871078119481,prediction,auto
2479,0.0781072018263034,prediction,auto
2480,0.0781011823901799,prediction,auto
2481,0.0781117062213145,prediction,auto
2482,0.0781152787155278,prediction,auto
2483,0.0781182784958886,prediction,auto
2484,0.0787859100646309,prediction,auto
2485,0.0787837470574824,prediction,auto
2486,0.0787591849559324,prediction,auto
2487,0.0787645328743196,prediction,auto
2488,0.0787402693829536,prediction,auto
2489,0.0787298729746655,prediction,auto
2490,0.0786944690262962,prediction,auto
2491,0.0787038750405203,prediction,auto
2492,0.0786878395801972,prediction,auto
2493,0.0786782410339615,prediction,auto
2494,0.0787218084573881,prediction,auto
2495,0.0788483282913209,prediction,auto
2496,0.0789247030006426,prediction,auto
2497,0.0789158174606154,prediction,auto
2498,0.078883042900456,prediction,auto
2499,0.0788748171532473,prediction,auto
