items,iLB1027_lipid,iMK_draft17,iTps1432,Lavoie2020
XMPt,0,0,1,0
XTSNt,0,0,1,0
ADNt,0,0,1,0
3HTMELYSt,0,0,1,0
4AMPMt,0,0,1,0
2MAHMPt,0,0,1,0
PPPG9t,0,0,1,0
4C2MEt,0,0,1,0
2P4C2MEt,0,0,1,0
DB4Pt,0,0,1,0
AACOAt,0,0,1,0
2MAACOAt,0,0,1,0
3HMBCOAt,0,0,1,0
ACGLUt,0,0,1,0
INSt,0,0,1,0
25DRAPPt,0,0,1,0
UMPt,0,0,1,0
EX_chol_e,0,0,1,0
GTPt2,0,0,1,0
EX_ura_e,0,0,1,0
EX_xan_e,0,0,1,0
ACGAMK,0,0,1,0
UACGAMt_e,0,0,1,0
EX_uacgam_e,0,0,1,0
INOST,0,0,1,0
APN,0,0,1,0
CYSTt,0,0,1,0
F6Pt,0,0,1,0
GAM6Pt,0,0,1,0
METS1_B12,0,0,1,0
METS2_B12,0,0,1,0
13BGGH,0,0,1,0
SERHL,0,0,1,0
2AMACHYD,0,0,1,0
2AMACSULT,0,0,1,0
LCYSTt,0,0,1,0
SLADH,0,0,1,0
SLACt,0,0,1,0
SPD3DH,0,0,1,0
SPD2DH,0,0,1,0
SDHL,0,0,1,0
EX_dhps_e,0,0,1,0
LCYSTOR,0,0,1,0
CYSTOTA,0,0,1,0
SERPTA,0,0,1,0
DHPSR1,0,0,1,0
DHPSR2,0,0,1,0
DHPSR3,0,0,1,0
FORt_e,0,0,1,0
EX_for_e,0,0,1,0
COB12,0,0,1,0
ALDD2X,0,0,1,0
GLUt2r_e,0,0,1,0
ASPt2r_e,0,0,1,0
THRt2r_e,0,0,1,0
GLYt2r_e,0,0,1,0
NADN,0,0,1,0
ADPRIBt,0,0,1,0
NMNHYD,0,0,1,0
NMNt,0,0,1,0
NADPHt,0,0,1,0
EX_photon410_e,0,0,1,0
EX_photon430_e,0,0,1,0
EX_photon450_e,0,0,1,0
EX_photon470_e,0,0,1,0
EX_photon490_e,0,0,1,0
EX_photon510_e,0,0,1,0
EX_photon530_e,0,0,1,0
EX_photon550_e,0,0,1,0
EX_photon570_e,0,0,1,0
EX_photon590_e,0,0,1,0
EX_photon610_e,0,0,1,0
EX_photon630_e,0,0,1,0
EX_photon650_e,0,0,1,0
EX_photon670_e,0,0,1,0
EX_photon690_e,0,0,1,0
DM_pho_loss_e,0,0,1,0
DEXDIATOX,0,0,1,0
DEXCARO,0,0,1,0
DEXFXANTH,0,0,1,0
DEXCHLC1,0,0,1,0
DEXCHLC2,0,0,1,0
DEXCHLA,0,0,1,0
DEXCHLAQY1,0,0,1,0
DEXCHLAQY2,0,0,1,0
ETCHLC1,0,0,1,0
ETCHLC2,0,0,1,0
ETFXANTH,0,0,1,0
ETBCARO,0,0,1,0
ETCHLA,0,0,1,0
CBFC2,0,0,1,0
SPOXF,0,0,1,0
NGAM_D1,0,0,1,0
PQH2t,0,0,1,0
PSICR,0,0,1,0
PSICS,0,0,1,0
GLACASE,0,0,1,0
G1D,0,0,1,0
HXAD,0,0,1,0
DEXDIADINX,0,0,1,0
DM_eps,0,0,1,0
PPX,0,0,1,0
EX_atp_e,0,0,1,0
EX_pppi_e,0,0,1,0
ATPt_e,0,0,1,0
AMPt_e,0,0,1,0
PPPIt_e,0,0,1,0
EX_sio4h4_e,0,0,1,0
SIO4H4t_e,0,0,1,0
biomass_polyp,0,0,1,0
biomass_EPS,0,0,1,0
bof5,0,0,1,0
biomass_frustule,0,0,1,0
biomass_chitin,0,0,1,0
biomass_vit,0,0,1,0
biomass_osmo,0,0,1,0
biomass_pigm5,0,0,1,0
biomass_TAG,0,0,1,0
biomass_mem_lipids,0,0,1,0
biomass_poly,0,0,1,0
biomass_faa,0,0,1,0
biomass_prot,0,0,1,0
biomass_RNA,0,0,1,0
biomass_DNA,0,0,1,0
PHOA690,0,0,1,0
PHOA670,0,0,1,0
PHOA650,0,0,1,0
PHOA630,0,0,1,0
PHOA610,0,0,1,0
PHOA590,0,0,1,0
PHOA570,0,0,1,0
PHOA550,0,0,1,0
PHOA530,0,0,1,0
PHOA510,0,0,1,0
PHOA490,0,0,1,0
PHOA470,0,0,1,0
PHOA450,0,0,1,0
PHOA430,0,0,1,0
PHOA410,0,0,1,0
OAAAKGt,0,0,0,1
ATPCS,0,0,0,1
CITICITt,0,0,0,1
FORA,0,0,0,1
FA180ACPH,0,0,0,1
AGMT,0,0,0,1
XPK,0,0,0,1
FPK,0,0,0,1
GLCt_e,0,0,0,1
MPCt,0,0,0,1
ACK,0,0,0,1
AHSAL,0,0,0,1
FA161d9ACPH,0,0,0,1
FA181d9ACPH,0,0,0,1
FAC204_tx,0,0,0,1
AAL(fum),0,0,0,1
XPPRT,0,0,0,1
ME2,0,0,0,1
TRPIL,0,0,0,1
AGMDI,0,0,0,1
ABOTA,0,0,0,1
MMM,0,0,0,1
FCSTOLI,0,0,0,1
SLCBPH1,0,0,0,1
SLCBPH2,0,0,0,1
PYDXDH,0,0,0,1
EX_biotin_e,0,0,0,1
EX_hso3_e,0,0,0,1
SLDK,0,0,0,1
GDR_NADP,0,0,0,1
EX_glc_e,0,0,0,1
CITRLt,0,0,0,1
XYLI,0,0,0,1
NADPt,0,0,0,1
MTHFt,0,0,0,1
ADEt,0,0,0,1
DM_phyt,0,0,0,1
DM_thmppp,0,0,0,1
NTRC,0,0,0,1
sink_Asn-X-Ser_Thr,0,0,0,1
CAMPPDE,0,0,0,1
DM_mhpglu,0,0,0,1
EX_lac_d_e,0,0,0,1
NASO4t_e,0,0,0,1
SQDGS_PALM_PALM,0,0,0,1
DM_for,0,0,0,1
FA140ACPH,0,0,0,1
SPT,0,0,0,1
HYPRRx,0,0,0,1
GLYCK2,0,0,0,1
ASPGLU2,0,0,0,1
10fthf,1,1,1,1
12dgr140,1,1,1,0
12dgr140160,1,1,1,1
12dgr1401619Z,1,1,1,1
12dgr140162n4,1,1,1,0
12dgr140163n4,1,1,1,0
12dgr140180,1,1,1,0
12dgr1401819Z,1,1,1,0
12dgr140182n6,1,1,1,0
12dgr140183n3,1,1,1,0
12dgr140183n6,1,1,1,0
12dgr140204n6,1,1,1,0
12dgr140205n3,1,1,1,0
12dgr140226n3,1,1,1,0
12dgr160,1,1,1,1
12dgr160140,1,1,1,0
12dgr1601619Z,1,1,1,0
12dgr160180,1,1,1,0
12dgr1601819Z,1,1,1,0
12dgr160182n6,1,1,1,0
12dgr160183n3,1,1,1,0
12dgr160183n6,1,1,1,0
12dgr160204n6,1,1,1,0
12dgr160205n3,1,1,1,0
12dgr160226n3,1,1,1,0
12dgr161,1,1,1,1
12dgr1619Z140,1,1,1,0
12dgr1619Z160,1,1,1,1
12dgr1619Z162n4,1,1,1,0
12dgr1619Z163n4,1,1,1,0
12dgr1619Z180,1,1,1,1
12dgr1619Z1819Z,1,1,1,1
12dgr1619Z182n6,1,1,1,1
12dgr1619Z183n3,1,1,1,1
12dgr1619Z183n6,1,1,1,1
12dgr1619Z204n6,1,1,1,1
12dgr1619Z205n3,1,1,1,1
12dgr1619Z226n3,1,1,1,1
12dgr1619Z240,1,1,0,1
12dgr180,1,1,1,0
12dgr180140,1,1,1,0
12dgr180160,1,1,1,0
12dgr1801619Z,1,1,1,1
12dgr1801819Z,1,1,1,0
12dgr180182n6,1,1,1,0
12dgr180183n3,1,1,1,0
12dgr180183n6,1,1,1,0
12dgr180204n6,1,1,1,0
12dgr180205n3,1,1,1,0
12dgr180226n3,1,1,1,0
12dgr1819Z140,1,1,1,0
12dgr1819Z160,1,1,1,1
12dgr1819Z1619Z,1,1,1,1
12dgr1819Z162n4,1,1,1,0
12dgr1819Z163n4,1,1,1,0
12dgr1819Z180,1,1,1,1
12dgr1819Z182n6,1,1,1,0
12dgr1819Z183n3,1,1,1,0
12dgr1819Z183n6,1,1,1,0
12dgr1819Z204n6,1,1,1,0
12dgr1819Z205n3,1,1,1,1
12dgr1819Z226n3,1,1,1,1
12dgr181_9,1,1,1,1
12dgr182_9_12,1,1,1,1
12dgr182n6140,1,1,1,0
12dgr182n6160,1,1,1,0
12dgr182n61619Z,1,1,1,0
12dgr182n6180,1,1,1,0
12dgr182n61819Z,1,1,1,0
12dgr182n6183n3,1,1,1,0
12dgr182n6183n6,1,1,1,0
12dgr182n6204n6,1,1,1,0
12dgr182n6205n3,1,1,1,0
12dgr182n6226n3,1,1,1,0
12dgr205n3,1,1,1,1
12dgr205n3140,1,1,1,0
12dgr205n3160,1,1,1,1
12dgr205n31619Z,1,1,1,1
12dgr205n3162n4,1,1,1,0
12dgr205n3163n4,1,1,1,0
12dgr205n3164n1,1,1,1,0
12dgr205n3180,1,1,1,1
12dgr205n31819Z,1,1,1,1
12dgr205n3182n6,1,1,1,1
12dgr205n3183n3,1,1,1,1
12dgr205n3183n6,1,1,1,1
12dgr205n3204n6,1,1,1,1
12dgr205n3226n3,1,1,1,1
12dgr226n3,1,1,1,1
12dgr226n3140,1,1,1,0
12dgr226n3160,1,1,1,1
12dgr226n31619Z,1,1,1,1
12dgr226n3180,1,1,1,1
12dgr226n31819Z,1,1,1,1
12dgr226n3182n6,1,1,1,0
12dgr226n3183n3,1,1,1,0
12dgr226n3183n6,1,1,1,0
12dgr226n3204n6,1,1,1,0
12dgr226n3205n3,1,1,1,1
13dpg,1,1,1,1
13glucan,1,1,0,1
1acpc,1,1,1,1
1agpc140,1,1,1,0
1agpc160,1,1,1,0
1agpc161,1,1,1,1
1agpc180,1,1,1,0
1agpc181,1,1,1,0
1agpc182,1,1,1,1
1agpc205,1,1,1,1
1agpc226,1,1,1,0
1agpe140,1,1,1,0
1agpe160,1,1,1,0
1agpe161,1,1,1,0
1agpe180,1,1,1,0
1agpe181,1,1,1,0
1agpe182,1,1,1,0
1agpe205,1,1,1,1
1agpe226,1,1,1,0
1docos4710131619eg3p,1,1,1,1
1eicos58111417eg3p,1,1,1,1
1hdec9eg3p,1,1,1,1
1hdecg3p,1,1,1,1
1odec912eg3p,1,1,1,1
1odec9eg3p,1,1,1,1
1odecg3p,1,1,1,1
1pyr5c,1,1,1,1
1tdecg3p,1,1,1,1
23dhdp,1,1,1,1
23dhmb,1,1,1,1
23dhmp,1,1,1,1
23dmphol,1,1,1,1
25aics,1,1,1,1
25drapp,1,1,1,1
26dap_LL,1,1,1,1
26dap__M,1,1,1,1
2ahbut,1,1,1,1
2ahethmpp,1,1,1,1
2c4mthzep,1,0,1,1
2cpr5p,1,1,1,1
2dda7p,1,1,1,1
2ddg6p,1,1,1,1
2dhp,1,1,1,1
2dr1p,1,1,1,1
2hglut,1,1,1,1
2ippm,1,1,1,1
2kmb,1,1,1,1
2m6phol,1,1,1,1
2m6sbenzq,1,1,1,1
2maacoa,1,1,1,1
2mahmp,1,1,1,1
2mb2coa,1,1,1,1
2mbcoa,1,1,1,1
2me4p,1,1,1,1
2mecdp,1,1,1,1
2mop,1,1,1,1
2mp2coa,1,1,1,1
2np6mep,1,1,1,1
2np6mobq,1,1,1,1
2npmhmobq,1,1,1,1
2obut,1,1,1,1
2ogm,1,1,1,1
2oxoadp,1,1,1,1
2oxosucc,1,1,1,1
2p4c2me,1,1,1,1
2pg,1,1,1,1
2pglyc,1,1,1,1
2shchc,1,1,1,1
34hpl,1,0,1,1
34hpp,1,1,1,1
35cgmp,1,1,1,1
3c2hmp,1,1,1,1
3c3hmp,1,1,1,1
3c4mop,1,1,1,1
3dhq,1,1,1,1
3dhsk,1,1,1,1
3dsphgn,1,1,1,1
3hbcoa,1,1,1,1
3hbutACP,1,1,1,1
3hcvac11eACP,1,1,1,1
3hd6coa,1,1,1,1
3hdc69coa,1,1,1,1
3hdc6coa,1,1,1,1
3hdc7coa,1,1,1,1
3hdcoa,1,1,1,1
3hdcos710131619coa,1,1,1,1
3hdcscoa,1,1,1,1
3hdd5811coa,1,1,1,1
3hdd58coa,1,1,1,1
3hdd5coa,1,1,1,1
3hdd69coa,1,1,1,1
3hddcoa,1,1,1,1
3hddecACP,1,1,1,1
3hdecACP,1,1,1,1
3hdocoscoa,1,1,1,1
3heico58111417coa,1,1,1,1
3heico581114coa,1,1,1,1
3heicoscoa,1,1,1,1
3hh5coa,1,1,1,1
3hhcoa,1,1,1,1
3hhd691215coa,1,1,1,1
3hhd6912coa,1,1,1,1
3hhd71013coa,1,1,1,1
3hhd710coa,1,1,1,1
3hhd7coa,1,1,1,1
3hhd912coa,1,1,1,1
3hhd9coa,1,1,1,1
3hhdcoa,1,1,1,1
3hhexACP,1,1,1,1
3hibutcoa,1,1,1,1
3hmbcoa,1,1,1,1
3hmop,1,1,1,1
3hmp,1,1,1,1
3hmrsACP,1,1,1,1
3hoc5coa,1,1,1,1
3hoc7coa,1,1,1,1
3hocoa,1,1,1,1
3hoctACP,1,1,1,1
3hoctaACP,1,1,1,1
3hod691215coa,1,1,1,1
3hod6912coa,1,1,1,1
3hod91215coa,1,1,1,1
3hod912coa,1,1,1,1
3hod9coa,1,1,1,1
3hodcoa,1,1,1,1
3hpalmACP,1,1,1,1
3htd5811coa,1,1,1,1
3htd58coa,1,1,1,1
3htd5coa,1,1,1,1
3htd71013coa,1,1,1,1
3htd710coa,1,1,1,1
3htd7coa,1,1,1,1
3htdcoa,1,1,1,1
3htmelys,1,1,1,1
3httccoa,1,1,1,1
3ig3p,1,1,1,1
3mb2coa,1,1,1,1
3mgcoa,1,1,1,1
3mob,1,1,1,1
3mop,1,1,1,1
3npdhb,1,1,1,1
3nphb,1,1,1,1
3ocvac11eACP,1,1,1,1
3od69coa,1,1,1,1
3od6coa,1,1,1,1
3odc69coa,1,1,1,1
3odc6coa,1,1,1,1
3odc7coa,1,1,1,1
3odcoa,1,1,1,1
3odcos710131619coa,1,1,1,1
3odd5811coa,1,1,1,1
3odd58coa,1,1,1,1
3odd5coc,1,1,1,1
3oddcoa,1,1,1,1
3oddecACP,1,1,1,1
3odecACP,1,1,1,1
3odocoscoa,1,1,1,1
3oeico58111417coa,1,1,1,1
3oeico581114coa,1,1,1,1
3oeicoscoa,1,1,1,1
3oh5coa,1,1,1,1
3ohcoa,1,1,1,1
3ohd691215coa,1,1,1,1
3ohd6912coa,1,1,1,1
3ohd71013coa,1,1,1,1
3ohd710coa,1,1,1,1
3ohd7coa,1,1,1,1
3ohd912coa,1,1,1,1
3ohd9coa,1,1,1,1
3ohdcoa,1,1,1,1
3ohexACP,1,1,1,1
3ohodcoa,1,1,0,0
3omrsACP,1,1,1,1
3ooc5coa,1,1,1,1
3ooc7coa,1,1,1,1
3oocoa,1,1,1,1
3ooctACP,1,1,1,1
3ooctdACP,1,1,1,1
3ood691215coa,1,1,1,1
3ood6912coa,1,1,1,1
3ood91215coa,1,1,1,1
3ood912coa,1,1,1,1
3ood9coa,1,1,1,1
3opalmACP,1,1,1,1
3otd5811coa,1,1,1,1
3otd58coa,1,1,1,1
3otd5coa,1,1,1,1
3otd71013coa,1,1,1,1
3otd710coa,1,1,1,1
3otd7coa,1,1,1,1
3otdcoa,1,1,1,1
3ottccoa,1,1,1,1
3pg,1,1,1,1
3php,1,1,1,1
3psme,1,1,1,1
4aammp,1,1,1,1
4abut,1,1,1,1
4abz,1,1,1,1
4adcho,1,1,1,1
4ahmmp,1,1,1,1
4ampm,1,1,1,1
4c2me,1,1,1,1
4fumacac,1,1,1,1
4hbz,1,1,1,1
4hbzcoa,1,0,1,1
4hpro_LT,1,1,1,1
4mlacac,1,1,1,1
4mop,1,1,1,1
4pasp,1,1,1,1
4ppan,1,1,1,1
4ppcys,1,0,1,1
4r5au,1,1,1,1
4tmeabut,1,1,1,1
5aizc,1,1,1,1
5aop,1,1,1,1
5aprbu,1,1,1,1
5apru,1,1,1,1
5dpmev,1,1,1,1
5drib,1,0,1,1
5fthf,1,1,1,1
5hiu,1,1,1,1
5houdic,1,1,1,1
5mcsn,1,1,1,1
5mdr1p,1,1,1,1
5mdru1p,1,1,1,1
5mta,1,1,1,1
5mthf,1,1,1,1
5mtr,1,1,1,1
5pmev,1,1,1,1
6hmhpt,1,1,1,1
6hmhptpp,1,1,1,1
6pgc,1,1,1,1
6pgl,1,1,1,1
6pthp,1,1,1,1
8aonn,1,1,1,1
ACP,1,1,1,1
Asn_X_Ser_Thr,1,1,1,1
L2aadp,1,1,1,1
L2aadp6sa,1,1,1,1
Largn,1,1,1,1
Ncbmpts,1,1,0,0
Ssq23epx,1,1,1,1
T4hcinnm,1,1,1,1
aacoa,1,1,1,1
ac,1,1,1,1
acACP,1,1,1,1
acac,1,1,1,1
acald,1,1,1,1
accoa,1,1,1,1
accp,1,1,1,1
acg5p,1,1,1,1
acg5sa,1,1,1,1
acgam1p,1,1,1,1
acgam6p,1,1,1,1
acglu,1,1,1,1
achms,1,1,1,1
acon_C,1,1,1,1
acorn,1,1,1,1
acrn,1,1,1,1
acser,1,1,1,1
actACP,1,1,1,1
actp,1,1,0,1
ade,1,1,1,1
adhlam,1,1,1,1
adn,1,1,1,1
adp,1,1,1,1
agm,1,1,1,1
ahcys,1,1,1,1
ahdt,1,1,1,1
aicar,1,1,1,1
air,1,1,1,1
akg,1,1,1,1
ala_B,1,1,1,1
ala__L,1,1,1,1
alac__S,1,1,1,1
alatrna,1,1,1,1
alltn,1,1,1,1
alltt,1,1,1,1
amet,1,1,1,1
ametam,1,1,1,1
amob,1,1,1,1
amp,1,1,1,1
anth,1,1,1,1
anxan,1,1,1,1
ap4a,1,1,1,1
apoC,1,1,1,1
apppa,1,1,1,1
aps,1,1,1,1
arach,1,1,1,1
arachcoa,1,1,1,1
arachd,1,1,1,1
arachdcoa,1,1,1,1
arg__L,1,1,1,1
argsuc,1,1,1,1
argtrna,1,1,1,1
ascb__L,1,1,1,1
asn__L,1,1,1,1
asntrna,1,1,1,1
asp__L,1,1,1,1
aspsa,1,1,1,1
asptrna,1,1,1,1
asq205n31602o205n3,1,1,0,1
athis,1,1,1,1
atp,1,1,1,1
avite1,1,1,1,1
b2coa,1,1,1,1
bamppald,1,1,1,1
behen,1,1,1,1
behencoa,1,1,1,1
betald,1,1,1,1
biliverd,1,1,1,1
biocyt,1,1,1,1
biomass,1,1,1,1
biomass_carb,1,0,0,0
biomass_dna,1,0,1,0
biomass_mem_lipids,1,0,1,0
biomass_pigm,1,0,1,0
biomass_pro,1,0,0,0
biomass_rna,1,0,1,0
biomass_tag,1,0,1,0
brasstrl,1,1,1,1
btamp,1,1,1,1
btcoa,1,1,1,1
btn,1,1,1,1
btnCCP,1,1,1,1
but2eACP,1,1,1,1
butACP,1,1,1,1
bvite,1,1,1,1
c226coa,1,1,1,1
c4dde2coa,1,1,1,1
c6912odtte2coa,1,1,1,1
camp,1,1,1,1
caro,1,1,1,1
cbasp,1,1,1,1
cbp,1,1,1,1
cdp,1,1,1,1
cdp12dgr160,1,1,1,1
cdp12dgr1601619Z,1,1,1,0
cdp12dgr160182n6,1,1,1,0
cdp12dgr160205n3,1,1,1,0
cdp12dgr161,1,1,1,0
cdp12dgr1619Z160,1,1,1,1
cdp12dgr1619Z182n6,1,1,1,0
cdp12dgr1619Z205n3,1,1,1,0
cdp12dgr1819Z160,1,1,1,0
cdp12dgr182_9_12,1,1,1,0
cdp12dgr182n6160,1,1,1,0
cdp12dgr182n61619Z,1,1,1,0
cdp12dgr182n6205n3,1,1,1,0
cdp12dgr205n3,1,1,1,0
cdp12dgr205n3160,1,1,1,1
cdp12dgr205n31619Z,1,1,1,0
cdp12dgr205n3182n6,1,1,1,0
cdpchol,1,1,1,1
cdpea,1,1,1,1
cer_18,1,1,1,1
cer_182,1,1,1,1
chito2pdpl,1,1,1,1
chlld,1,1,0,0
chol,1,1,1,1
cholp,1,1,1,1
cholphya,1,1,1,1
cholphyc1,1,1,1,1
cholphyc2,1,1,1,1
chor,1,1,1,1
cit,1,1,1,1
citr__L,1,1,1,1
cl,1,1,1,1
clpn160,1,1,1,1
clpn182,1,1,1,1
cmp,1,1,1,1
co,1,1,1,1
co2,1,1,1,1
coa,1,1,1,1
coucoa,1,1,1,1
cpppg3,1,1,1,1
crn,1,1,1,1
crvnc,1,1,1,1
csn,1,1,1,1
cthzp,1,1,1,1
ctp,1,1,1,1
cyan,1,1,1,1
cyart,1,1,1,1
cyeuol,1,1,1,1
cynt,1,1,1,1
cys__L,1,1,1,1
cyst__L,1,1,1,1
cystrna,1,1,1,1
cytd,1,1,1,1
dad_2,1,1,1,1
dad_5,1,1,1,1
dadp,1,1,1,1
damp,1,1,1,1
dann,1,1,1,1
datp,1,1,1,1
db4p,1,1,1,1
dc247coa,1,1,1,1
dc269coa,1,1,1,1
dc26coa,1,1,1,1
dc27coa,1,1,1,1
dc2coa,1,1,1,1
dc369coa,1,1,1,1
dc36coa,1,1,1,1
dc37coa,1,1,1,1
dc3coa,1,1,1,1
dc47coa,1,1,1,1
dcaACP,1,1,1,1
dcacoa,1,1,1,1
dcamp,1,1,1,1
dcdp,1,1,1,1
dcmp,1,1,1,1
dcos24710131619coa,1,1,1,1
dcos2710131619coa,1,1,1,1
dcos3710131619coa,1,1,1,1
dctp,1,1,1,1
dczcaro,1,1,1,1
dd25811coa,1,1,1,1
dd258coa,1,1,1,1
dd25coa,1,1,1,1
dd269coa,1,1,1,1
dd26coa,1,1,1,1
dd2coa,1,1,1,1
dd369coa,1,1,1,1
dd36coa,1,1,1,1
dd3coa,1,1,1,1
dd3ecoa,1,1,1,1
dd4coa,1,1,1,1
dd5811coa,1,1,1,1
dd58coa,1,1,1,1
dd5coa,1,1,1,1
ddcaACP,1,1,1,1
ddcacoa,1,1,1,1
dedol,1,0,1,1
dedoldp,1,1,1,1
dedolp,1,0,1,1
dgdg140160,1,1,1,0
dgdg160,1,1,1,0
dgdg161,1,1,1,0
dgdg1619Z160,1,1,1,0
dgdg1819Z1619Z,1,1,1,0
dgdg1819Z162n4,1,1,1,0
dgdg1819Z163n4,1,1,1,0
dgdg205n3,1,1,1,0
dgdg205n3160,1,1,1,0
dgdg205n31619Z,1,1,1,1
dgdg205n3162n4,1,1,1,1
dgdg205n3163n4,1,1,1,0
dgdp,1,1,1,1
dggl,1,1,1,1
dgmp,1,1,1,1
dgsn,1,1,1,1
dgta205n3,1,1,1,1
dgta205n31619Z,1,1,1,1
dgta205n3182n6,1,1,1,0
dgtp,1,1,1,1
dhap,1,1,1,1
dhbiliverd,1,1,1,1
dhbpt,1,1,1,1
dhcer_18,1,1,1,1
dhdascb,1,1,1,1
dhepstrl,1,0,0,1
dhf,1,1,1,1
dhlam,1,1,1,1
dhmtp,1,1,1,1
dhna,1,1,1,1
dhncoa,1,1,1,1
dhor__S,1,1,1,1
dhpt,1,1,1,1
diadinx,1,1,1,1
diatox,1,1,1,1
din,1,1,1,1
dkmpp,1,1,1,1
dlnlcgcoa,1,1,1,1
dmgly,1,1,1,1
dmlz,1,1,1,1
dmpp,1,1,1,1
dmshb,1,1,1,1
dmsp,1,1,1,1
dmtphllqne,1,1,1,1
dnad,1,1,1,1
docos2coa,1,1,1,1
docos710131619coa,1,1,1,1
doldp,1,1,1,1
dolichol,1,1,1,1
dolmanp,1,1,1,1
dolp,1,1,1,1
dolpglc,1,1,1,1
dpcoa,1,1,1,1
dtbt,1,1,1,1
dtdp,1,1,1,1
dtmp,1,1,1,1
dtocophe,1,1,0,0
dttp,1,1,1,1
dudp,1,1,1,1
dump,1,1,1,1
duri,1,1,1,1
dutp,1,1,1,1
dvchlda,1,1,1,1
dvpchlda,1,1,1,1
dxyl5p,1,1,1,1
e4p,1,1,1,1
eico258111417coa,1,1,1,1
eico2581114coa,1,1,1,1
eicos2coa,1,1,1,1
eicos8111417coa,1,1,1,1
eig3p,1,1,1,1
epist,1,0,0,1
ergst,1,1,1,1
ergtetrol,1,1,1,1
etha,1,1,1,1
ethadmp,1,1,1,1
ethamp,1,1,1,1
ethe,1,1,1,1
etoh,1,1,1,1
f6p,1,1,1,1
fad,1,1,1,1
fadh2,1,1,1,1
fald,1,1,1,1
fdp,1,1,1,1
fdxox,1,1,1,1
fdxrd,1,1,1,1
fe2,1,1,1,1
fecost,1,1,1,1
fgam,1,1,1,1
ficytb5,1,1,1,1
ficytc,1,1,1,1
fmettrna,1,1,1,1
fmn,1,1,1,1
focytb5,1,1,1,1
focytc,1,1,1,1
fol,1,1,1,1
for,1,1,1,1
fpram,1,1,1,1
fprica,1,1,1,1
frdp,1,1,1,1
frmd,1,1,1,1
fuc1p__L,1,1,1,1
fuc__L,1,1,1,1
fum,1,1,1,1
fxanth,1,1,1,1
g1m8masn,1,1,1,1
g1m8mpdol,1,1,1,1
g1p,1,1,1,1
g2m8masn,1,1,1,1
g2m8mpdol,1,1,1,1
g3m8masn,1,1,1,1
g3m8mpdol,1,1,1,1
g3p,1,1,1,1
g3pc,1,1,1,1
g3pe,1,1,1,1
g6p,1,1,1,1
gal,1,1,1,1
gal14lac,1,1,1,1
gal1p,1,1,1,1
gal__L,1,1,1,1
gam6p,1,1,1,1
gar,1,1,1,1
gbbtn,1,1,1,1
gcarote,1,1,0,0
gdp,1,1,1,1
gdpddman,1,1,1,1
gdpfuc,1,1,1,1
gdpgal,1,1,1,1
gdpman2s,1,1,0,1
gdpmann,1,1,1,1
gdptp,1,1,1,1
ggdp,1,1,1,1
ggl,1,1,1,1
glc__D,1,1,1,1
gln__L,1,1,1,1
glntrna,1,1,1,1
glu1sa,1,1,1,1
glu5p,1,1,1,1
glu5sa,1,1,1,1
glu__L,1,1,1,1
glucys,1,1,1,1
glutcoa,1,1,1,1
glutrna,1,1,1,1
glx,1,1,1,1
gly,1,1,1,1
glyb,1,1,1,1
glyc,1,1,1,1
glyc3p,1,1,1,1
glyclt,1,1,1,1
glytrna,1,1,1,1
gmp,1,1,1,1
grdp,1,1,1,1
gsn,1,1,1,1
gthox,1,1,1,1
gthrd,1,1,1,1
gtocophe,1,1,0,0
gtp,1,1,1,1
gua,1,1,1,1
h,1,1,1,1
h2,1,1,0,1
h2mb4p,1,1,1,1
h2o,1,1,1,1
h2o2,1,1,1,1
h2s,1,1,1,1
hco3,1,1,1,1
hcys__L,1,1,1,1
hd2471013coa,1,1,1,1
hd24710coa,1,1,1,1
hd2691215coa,1,1,1,1
hd26912coa,1,1,1,1
hd271013coa,1,1,1,1
hd2710coa,1,1,1,1
hd27coa,1,1,1,1
hd2912coa,1,1,1,1
hd29coa,1,1,1,1
hd2coa,1,1,1,1
hd2crn,1,1,1,1
hd371013coa,1,1,1,1
hd3710coa,1,1,1,1
hd471013coa,1,1,1,1
hd4710coa,1,1,1,1
hd691215coa,1,1,1,1
hd691215crn,1,1,1,1
hd691215ea,1,1,1,1
hd6912coa,1,1,1,1
hd6912crn,1,1,1,1
hd6912ea,1,1,1,1
hd71013coa,1,1,1,1
hd710coa,1,1,1,1
hd7coa,1,1,1,1
hd912coa,1,1,1,1
hd912crn,1,1,1,1
hd912ea,1,1,1,1
hdc2ea,1,1,1,1
hdca,1,1,1,1
hdcea,1,1,1,1
hdcecrn,1,1,1,1
hdcoa,1,1,1,1
hdd2coa,1,1,1,1
hdeACP,1,1,1,1
hemeA,1,1,0,0
hemeO,1,1,1,1
hexACP,1,1,1,1
hgentis,1,1,1,1
his__L,1,1,1,1
hisp,1,1,1,1
histd,1,1,1,1
histrna,1,1,1,1
hmbil,1,1,1,1
hmgcoa,1,1,1,1
hom__L,1,1,1,1
hpta,1,1,1,1
hptal,1,1,1,1
hptcoa,1,1,1,1
hptcrn,1,1,1,1
hthbp,1,1,1,1
hx25coa,1,1,1,1
hx2coa,1,1,1,1
hx3coa,1,1,1,1
hx5coa,1,1,1,1
hxan,1,1,1,1
hxcoa,1,1,1,1
hxdcal,1,1,1,1
hxdceal,1,1,1,1
iasp,1,1,1,1
ibcoa,1,1,1,1
ichor,1,1,1,1
icit,1,1,1,1
